仮説検証,hypothesis-testing,クックパッド,2018/05/16 19:15,2018/05/16 21:40,記念すべき初回のテーマは 「仮説検証」 。 サービスを作り上げていく中で、自分たちの立てた仮説をどのように確かめながら前に進んでいるかについての発表が集まります。
チームビルディング,team-building,クックパッド,2018/07/06 19:00,2018/07/06 22:00,今回のテーマは「チームビルディング」。良いサービスをつくるために不可欠な良いチームをどのようにつくっていくかというトークが集まります。
ユーザーインタビュー,user-interviews,クラウドワークス,2018/09/14 19:00,2018/09/14 22:00,今回のテーマは「ユーザーインタビュー」。サービス開発には欠かせないユーザー理解の一手段であるインタビューについて、そのノウハウや活用法についてのトークが集まる予定です。
ピボット,pivot,クックパッド,2018/10/17 19:00,2018/10/17 22:00,今回のテーマは「ピボット」。サービスを開発していく中で必ず直面する方針・方向転換についての話が集まる予定です。
プロトタイピング,prototyping,クラウドワークス,2018/11/16 19:00,2018/11/16 22:00,今回のテーマは「プロトタイピング」。サービスのコアコンセプトをすばやく検証するテクニックについてのトークが集まる予定です！
大忘年LT大会,lt-festival,クックパッド,2018/12/19 19:00,2018/12/19 22:00,年末の締めとして、今回は大忘年LT大会を開催します！！LT(5分)はサービス開発に関わることであれば何でもありのフリートークです。いつもはテーマが決まっていて話したい内容と合わない…、20分は長い…と思っていた方もぜひ気軽にお話頂ければと思います。LT枠はなんと20人もあるのでどしどしご応募ください！！
採用,recruting,クックパッド,2019/01/22 19:00,2019/01/22 22:00,今回のテーマは「採用」。サービス開発の核になるチームメンバーをいかにして集めるかのトークが集まる予定です。
仮説の立て方,how-to-create-hypothesis,クラウドワークス,2019/02/19 19:00,2019/02/19 22:00,今回のテーマは「仮説の立て方」。サービス開発の軸になる仮説について、その立て方にまつわるトークが集まる予定です。
